date,replies,retweets,favorites
10/16/2017 22:59,17064,89916,641842
10/2/2017 12:41,21588,405895,1715753
9/30/2017 2:22,8476,60651,503255
9/26/2017 17:03,10657,113807,334901
9/25/2017 23:36,3886,58449,328106
9/20/2017 16:32,846,2615,11273
9/20/2017 2:30,23160,448792,1502386
9/18/2017 20:07,2616,31487,151759
9/13/2017 14:08,6290,65752,263743
9/11/2017 15:32,15531,351102,1385291
9/10/2017 15:56,789,6538,33440
9/8/2017 21:34,4884,31634,238120
9/7/2017 23:06,9214,101788,335960
9/5/2017 18:52,35983,390715,935216
8/27/2017 23:14,24509,249252,842435
8/17/2017 19:15,26424,323911,1632230
8/13/2017 0:06,19037,415656,1418251
8/13/2017 0:06,21458,502519,1589046
8/13/2017 0:06,70275,1712802,4603556
7/20/2017 0:49,29569,419444,2108869
6/22/2017 19:41,25250,132574,448286
6/18/2017 15:09,23066,258471,1374117
6/2/2017 17:35,15179,73103,392953
5/29/2017 13:09,9654,133048,710229
5/27/2017 13:15,6934,76083,499554
5/25/2017 14:13,4777,43565,221251
5/23/2017 16:56,11479,225577,1047869
5/22/2017 21:16,2284,10006,84220
5/14/2017 14:01,9384,113753,741881
5/3/2017 19:42,5572,24274,123062
5/2/2017 17:19,8556,131656,510123
4/24/2017 19:48,3135,12070,59829
3/23/2017 13:00,16525,145851,824879
3/19/2017 15:51,8751,68251,408068
3/8/2017 21:14,7915,52500,276941
3/2/2017 19:00,3149,6870,35479
3/2/2017 15:22,5469,18723,106647
2/17/2017 19:37,7251,27138,119106
2/14/2017 15:34,15788,263004,1118302
1/22/2017 18:07,14820,36145,241247
1/20/2017 21:17,5561,50220,164135
1/20/2017 21:05,14795,54281,240283
1/20/2017 21:04,72451,439263,1876877
1/10/2017 23:44,6175,13945,76360
11/5/2016 16:31,5601,3954,24773
11/5/2016 15:38,6368,4581,29044
11/4/2016 22:16,3928,9502,46260
11/4/2016 18:25,1288,6150,25260
11/4/2016 16:12,1498,3937,17343
11/3/2016 21:02,745,1503,8769
11/3/2016 19:08,964,1867,11054
11/3/2016 17:22,4573,73795,277246
11/2/2016 18:22,1303,2145,11403
11/2/2016 15:13,1328,3191,14412
11/2/2016 0:15,416,1690,8770
11/1/2016 22:26,458,2390,9912
11/1/2016 20:17,570,903,5921
11/1/2016 17:55,718,2255,10173
11/1/2016 15:54,369,1026,5299
10/31/2016 22:17,1270,3324,13931
10/31/2016 22:09,909,6843,32781
10/31/2016 20:12,254,957,5039
10/31/2016 18:08,329,914,4783
10/31/2016 17:00,622,1719,7273
10/31/2016 15:33,344,973,4563
10/30/2016 22:21,195,550,2695
10/28/2016 16:50,719,1328,5313
10/28/2016 15:07,739,3671,12865
10/27/2016 22:17,476,1201,5905
10/27/2016 21:31,654,4351,10378
10/27/2016 20:24,546,1972,8217
10/27/2016 18:55,1143,1781,7340
10/27/2016 17:04,233,1545,4747
10/27/2016 15:27,353,997,4714
10/26/2016 19:32,471,2112,6882
10/26/2016 17:33,479,1467,7163
10/26/2016 16:26,310,751,3625
10/26/2016 15:01,439,976,3815
10/25/2016 19:55,614,2243,9429
10/25/2016 18:01,347,786,3146
10/25/2016 16:24,212,411,1355
10/25/2016 15:25,372,941,4845
10/24/2016 21:32,572,1758,6827
10/24/2016 20:11,294,1343,4511
10/24/2016 18:52,309,713,3289
10/24/2016 17:06,166,1474,2908
10/24/2016 15:21,753,2718,11204
10/21/2016 20:47,601,840,3201
10/21/2016 16:40,553,2488,11904
10/21/2016 14:55,667,1633,7523
10/20/2016 20:42,459,957,4457
10/20/2016 18:47,396,1436,6752
10/20/2016 17:52,234,551,2600
10/20/2016 17:29,278,737,2927
10/20/2016 16:54,186,437,2217
10/20/2016 15:35,304,998,3571
10/19/2016 20:10,284,945,3307
10/19/2016 18:07,314,1342,4322
10/19/2016 15:56,289,945,2873
10/19/2016 15:09,479,2384,7526
10/18/2016 20:00,479,1833,4373
10/18/2016 18:25,273,685,2791
10/18/2016 17:10,456,2014,8122
10/18/2016 15:45,233,792,3287
10/17/2016 22:14,283,1340,5485
10/17/2016 21:07,217,1177,3166
10/17/2016 18:46,309,1367,3775
10/17/2016 16:32,154,683,1790
10/17/2016 15:33,115,368,1316
10/17/2016 15:30,352,3429,11144
10/14/2016 21:17,477,1025,3699
10/14/2016 19:20,464,5479,13995
10/14/2016 17:31,232,693,2701
10/14/2016 16:18,282,1075,4153
10/13/2016 21:30,538,1950,6720
10/13/2016 20:29,136,721,2546
10/13/2016 18:29,457,2528,8804
10/13/2016 16:53,182,1014,3140
10/13/2016 15:24,195,2583,5089
10/12/2016 21:02,220,521,2192
10/12/2016 20:54,96,505,1545
10/12/2016 19:43,158,529,2217
10/12/2016 17:57,184,884,3539
10/12/2016 16:35,429,3741,12277
10/12/2016 15:25,244,1250,3431
10/11/2016 23:59,219,1660,7497
10/11/2016 21:18,638,20697,44500
10/11/2016 20:02,369,3099,10124
10/11/2016 18:38,174,895,3158
10/11/2016 17:26,198,2335,7263
10/11/2016 15:31,157,428,1800
10/7/2016 22:03,711,1813,6597
10/7/2016 20:38,208,636,2304
10/7/2016 19:54,177,580,2514
10/7/2016 18:02,254,593,2516
10/7/2016 16:16,259,1100,3808
10/7/2016 15:14,172,1170,3267
10/7/2016 13:59,352,2168,7907
10/6/2016 18:35,217,716,2605
10/6/2016 17:22,116,687,2070
10/6/2016 15:48,154,886,3236
10/5/2016 21:30,297,1314,5478
10/5/2016 20:44,280,1754,6095
10/5/2016 19:30,135,462,1842
10/5/2016 15:50,202,738,2366
10/4/2016 20:30,229,659,2637
10/4/2016 18:28,353,2011,7027
10/4/2016 16:53,259,715,3371
10/4/2016 15:08,294,1616,6412
10/3/2016 19:57,148,1315,2530
10/3/2016 18:24,2216,122590,311762
10/3/2016 16:55,165,329,1151
10/3/2016 15:30,212,438,1916
10/1/2016 16:06,137,445,1536
10/1/2016 14:46,243,799,3635
9/30/2016 21:32,304,2217,8564
9/30/2016 20:11,408,2042,5236
9/30/2016 17:47,175,942,3400
9/30/2016 15:57,323,3157,9855
9/29/2016 21:55,312,1046,3582
9/29/2016 19:41,167,648,2782
9/29/2016 17:59,53,313,734
9/29/2016 16:33,286,1319,5485
9/29/2016 15:12,40,253,955
9/28/2016 17:49,198,335,1510
9/28/2016 15:16,573,3122,10979
9/27/2016 21:04,592,2586,7095
9/27/2016 19:42,258,1035,3370
9/27/2016 16:57,281,2834,8391
9/27/2016 15:28,140,833,2701
9/26/2016 20:58,230,981,3439
9/26/2016 18:59,334,2349,7313
9/26/2016 17:27,136,736,2298
9/26/2016 15:55,250,1421,4401
9/23/2016 21:12,433,775,2400
9/23/2016 20:05,397,2131,6826
9/23/2016 19:03,155,449,1649
9/23/2016 18:02,282,4309,6996
9/23/2016 16:57,142,444,1556
9/23/2016 15:57,215,1415,2654
9/22/2016 22:18,721,13814,41344
9/22/2016 21:21,363,1532,4972
9/22/2016 19:00,281,2513,7862
9/22/2016 17:34,168,758,2406
9/22/2016 15:58,294,2312,6536
9/21/2016 19:58,270,752,2690
9/21/2016 17:53,359,3147,9368
9/21/2016 16:34,251,1308,4150
9/21/2016 14:57,309,1767,5525
9/20/2016 19:31,477,851,3641
9/20/2016 14:30,282,643,2249
9/19/2016 15:24,436,682,2808
9/16/2016 22:24,607,1270,4295
9/16/2016 21:23,500,3495,8112
9/16/2016 19:55,218,944,3089
9/16/2016 18:55,55,359,908
9/16/2016 17:24,261,1227,3311
9/16/2016 15:54,227,959,3438
9/15/2016 21:24,634,4567,15643
9/15/2016 18:51,204,1311,4048
9/15/2016 16:39,216,2512,6930
9/15/2016 15:15,110,402,1735
9/15/2016 14:25,95,1049,2621
9/14/2016 20:45,360,1497,4779
9/14/2016 19:05,128,719,1507
9/14/2016 17:50,412,1497,4160
9/14/2016 16:40,162,360,1502
9/14/2016 15:24,277,1731,5906
9/13/2016 21:14,232,597,2152
9/13/2016 20:09,843,3806,12601
9/13/2016 19:11,278,1470,4278
9/13/2016 16:15,234,1048,2142
9/13/2016 15:00,435,3453,10172
9/12/2016 20:24,584,2575,8436
9/12/2016 18:55,262,1586,4879
9/12/2016 17:36,354,3055,6343
9/12/2016 15:09,213,1281,4134
9/9/2016 21:05,739,3547,10358
9/9/2016 20:15,144,721,1881
9/9/2016 19:16,187,637,2247
9/9/2016 17:47,196,1300,3643
9/9/2016 15:08,302,1335,3918
9/8/2016 19:39,269,913,3380
9/8/2016 18:35,41,318,1036
9/8/2016 17:39,192,472,2064
9/7/2016 21:47,401,1802,4445
9/7/2016 20:00,363,828,2987
9/7/2016 17:48,272,794,2706
9/7/2016 15:53,487,3150,10028
9/6/2016 21:57,435,1018,3141
9/6/2016 20:19,207,1176,3811
9/6/2016 18:57,145,576,2416
9/6/2016 16:58,174,1214,4168
9/6/2016 15:03,283,1273,4662
9/5/2016 16:03,413,862,3807
9/3/2016 17:01,1288,1092,4798
9/3/2016 16:06,276,2851,5566
9/2/2016 22:27,818,2517,7915
9/2/2016 19:59,429,702,2831
9/2/2016 18:28,529,2676,8430
9/2/2016 17:01,477,2433,8572
9/2/2016 15:10,452,2349,8877
9/1/2016 21:06,349,840,3106
9/1/2016 19:33,398,2681,9071
9/1/2016 17:07,168,949,2356
9/1/2016 16:00,125,340,1478
8/31/2016 19:42,378,767,2821
8/31/2016 17:38,146,700,2384
8/31/2016 16:24,377,3069,7685
8/30/2016 22:17,316,740,2658
8/30/2016 21:50,172,885,2267
8/30/2016 20:03,371,2211,6133
8/30/2016 18:08,208,397,1783
8/30/2016 15:35,350,603,2593
8/29/2016 21:15,295,1044,3772
8/29/2016 19:10,255,1374,4853
8/29/2016 17:19,428,3393,8132
8/26/2016 21:58,1300,2060,7414
8/26/2016 20:14,314,2760,8066
8/26/2016 18:45,180,718,2397
8/26/2016 17:03,457,5152,13135
8/26/2016 15:34,277,635,2931
8/25/2016 22:13,215,1476,5309
8/25/2016 20:24,184,2565,9101
8/25/2016 15:58,57,425,1059
8/24/2016 21:35,321,1023,3452
8/24/2016 20:32,423,4096,10279
8/24/2016 18:44,133,277,1259
8/24/2016 16:30,333,2906,7251
8/24/2016 15:17,393,1560,6286
8/23/2016 19:43,393,1098,3071
8/22/2016 22:12,431,1279,4538
8/22/2016 19:31,554,4760,14785
8/22/2016 17:45,170,863,2946
8/22/2016 16:07,190,600,2553
8/20/2016 17:08,498,1194,5780
8/20/2016 16:04,152,793,4034
8/19/2016 19:16,416,1502,2922
8/19/2016 17:14,294,803,2852
8/19/2016 15:17,495,2083,8625
8/18/2016 21:59,506,3071,6129
8/18/2016 20:57,536,5248,11155
8/18/2016 16:57,270,360,1479
8/18/2016 15:50,265,388,1986
8/17/2016 21:18,337,1039,4017
8/17/2016 19:46,277,778,2708
8/17/2016 17:06,658,2530,7620
8/17/2016 15:39,1010,4389,15390
8/16/2016 20:02,134,484,1354
8/16/2016 18:48,184,584,2349
8/16/2016 16:34,245,1124,3599
8/16/2016 14:52,420,2910,9725
8/15/2016 20:48,426,1568,6976
8/15/2016 18:50,200,1265,4190
8/15/2016 17:07,393,2818,8982
8/15/2016 15:31,210,998,3256
8/13/2016 18:56,597,1214,5826
8/13/2016 17:44,281,811,3796
8/12/2016 21:55,528,3528,10536
8/12/2016 20:08,242,1416,5354
8/12/2016 18:39,195,655,2606
8/12/2016 16:44,251,1509,4394
8/12/2016 15:17,522,4700,16683
8/11/2016 21:58,267,914,2773
8/11/2016 20:33,199,1033,3144
8/11/2016 18:51,265,992,3953
8/11/2016 17:34,194,663,2189
8/11/2016 15:56,582,6170,17215
8/10/2016 20:26,242,380,2196
8/10/2016 17:36,232,554,2531
8/10/2016 15:37,606,3388,12664
8/9/2016 20:54,524,5570,12311
8/9/2016 19:01,208,1112,3376
8/9/2016 16:59,201,1128,3730
8/9/2016 14:59,183,1153,3323
8/8/2016 21:00,517,1618,6249
8/8/2016 19:41,156,985,3848
8/8/2016 18:13,156,505,1817
8/8/2016 16:40,361,1720,7390
8/8/2016 15:16,298,1803,4023
8/6/2016 19:17,519,1791,8219
8/5/2016 21:12,482,4111,13509
8/5/2016 19:30,239,696,1649
8/5/2016 18:18,669,3217,11874
8/5/2016 16:49,286,1690,5852
8/5/2016 15:42,466,1649,6982
8/5/2016 14:31,450,3012,9842
8/4/2016 22:29,682,1218,5898
8/4/2016 20:01,1401,4927,18027
8/4/2016 17:46,1351,1728,8034
8/4/2016 16:22,323,1457,6337
8/4/2016 14:24,870,2118,10266
8/3/2016 23:32,1403,3438,10384
8/3/2016 21:42,227,855,3788
8/3/2016 20:06,630,1078,5112
8/3/2016 18:35,149,595,2273
8/3/2016 17:11,290,1639,6339
8/3/2016 15:37,1401,1958,10412
8/2/2016 20:46,1100,2886,10807
8/2/2016 19:45,303,774,2550
8/2/2016 18:21,761,8604,18846
8/2/2016 16:41,266,1916,4565
8/2/2016 15:28,664,851,4614
8/1/2016 20:58,208,978,3201
8/1/2016 18:45,824,7414,16855
8/1/2016 16:47,475,1278,6853
8/1/2016 15:38,185,729,2993
7/30/2016 18:58,441,1408,5678
7/30/2016 17:36,1114,1578,7974
7/30/2016 16:39,121,470,2214
7/29/2016 20:22,419,3287,7941
7/29/2016 19:05,250,764,2941
7/29/2016 17:42,634,5930,17720
7/29/2016 16:10,619,1262,6427
7/28/2016 20:41,337,913,3109
7/28/2016 19:41,244,1149,3241
7/28/2016 16:55,217,510,2446
7/28/2016 15:31,385,1341,4992
7/27/2016 19:38,850,2086,8372
7/27/2016 17:24,409,1172,4864
7/27/2016 15:38,775,5696,17817
7/26/2016 20:33,349,742,3899
7/26/2016 19:45,741,6085,16151
7/26/2016 18:36,623,2180,8314
7/26/2016 16:25,297,1171,3576
7/26/2016 15:13,444,2906,9951
7/25/2016 21:29,451,1166,3930
7/25/2016 20:33,840,4984,14285
7/25/2016 19:27,109,341,905
7/25/2016 18:02,246,722,2810
7/25/2016 17:02,439,3851,11518
7/25/2016 15:55,535,3603,10143
7/23/2016 17:54,704,1565,6678
7/23/2016 16:08,248,626,2798
7/22/2016 16:41,501,1022,3550
7/22/2016 15:23,376,3364,9476
7/21/2016 20:50,189,626,2539
7/21/2016 19:13,531,2588,9051
7/21/2016 17:55,778,5538,13290
7/21/2016 15:59,767,4578,15930
7/20/2016 19:34,469,1731,4093
7/20/2016 17:33,238,1041,2735
7/20/2016 15:38,275,1056,2932
7/19/2016 16:10,760,7701,13033
7/18/2016 20:43,364,1158,3317
7/18/2016 18:45,393,1110,4211
7/18/2016 16:42,271,952,2618
7/17/2016 21:03,537,751,2657
7/15/2016 18:58,569,591,2889
7/14/2016 21:28,606,837,3214
7/14/2016 18:33,344,482,2096
7/14/2016 16:27,251,603,2353
7/13/2016 16:17,576,1561,5649
7/12/2016 18:47,597,840,3452
7/12/2016 16:59,287,709,3102
7/8/2016 14:53,1353,2206,5257
7/7/2016 22:17,703,1114,1798
7/4/2016 16:01,1358,5754,23986
7/3/2016 19:19,1241,6230,21517
7/2/2016 15:05,438,777,2855
7/1/2016 21:54,519,1413,4637
7/1/2016 20:54,253,719,2399
7/1/2016 19:17,427,1460,5934
7/1/2016 19:12,312,1191,6587
7/1/2016 17:18,258,506,2205
7/1/2016 15:55,391,1245,3522
7/1/2016 2:35,421,1120,6882
7/1/2016 0:05,413,1334,3703
6/30/2016 21:54,356,1124,5953
6/30/2016 19:29,537,2644,9534
6/30/2016 17:49,207,465,2769
6/30/2016 15:34,263,4435,13075
6/29/2016 22:30,536,890,3094
6/29/2016 21:17,320,1457,5557
6/28/2016 18:36,624,970,2835
6/28/2016 17:36,834,5673,16801
6/28/2016 16:35,138,594,2237
6/28/2016 15:35,255,3239,10332
6/27/2016 21:04,354,1214,5590
6/27/2016 20:38,86,292,1141
6/27/2016 19:34,462,3962,12057
6/27/2016 18:15,305,838,3080
6/27/2016 16:58,195,1581,4645
6/27/2016 15:23,111,895,1801
6/27/2016 0:33,302,875,3152
6/26/2016 23:25,361,2459,7939
6/26/2016 22:13,192,1205,4038
6/26/2016 21:07,253,824,3756
6/26/2016 19:41,330,1547,4724
6/26/2016 17:49,745,29787,54401
6/26/2016 14:00,185,643,2444
6/25/2016 21:20,823,5554,17357
6/25/2016 19:14,155,554,2335
6/24/2016 23:15,395,1390,3328
6/24/2016 21:12,278,813,2984
6/24/2016 19:57,222,1376,3787
6/24/2016 18:35,282,1846,5467
6/24/2016 16:52,240,665,2190
6/24/2016 15:33,651,6742,13968
6/23/2016 22:22,489,1284,3465
6/23/2016 21:02,861,4963,14237
6/23/2016 18:39,324,697,2153
6/23/2016 17:34,313,741,1455
6/23/2016 15:53,260,477,1506
6/23/2016 1:30,767,6844,17794
6/22/2016 22:33,379,4142,9552
6/22/2016 18:39,1787,11096,18469
6/22/2016 17:31,686,4659,12869
6/22/2016 15:16,242,1273,3675
6/21/2016 22:02,264,1264,3862
6/21/2016 20:52,245,516,1758
6/21/2016 19:47,225,1147,3511
6/21/2016 17:45,317,1474,5610
6/21/2016 15:46,4272,64984,120391
6/20/2016 19:29,400,572,2461
6/20/2016 17:09,337,505,1935
6/20/2016 16:09,216,765,2709
6/19/2016 17:59,427,2024,6785
6/19/2016 16:49,1208,11843,45146
6/18/2016 23:28,385,832,3203
6/18/2016 19:28,349,3046,8367
6/18/2016 15:31,835,5221,21267
6/17/2016 21:07,474,2100,6468
6/17/2016 18:23,741,1737,4385
6/17/2016 1:41,502,1307,3281
6/13/2016 16:52,1732,7900,17415
6/12/2016 18:36,1822,8598,11535
6/12/2016 17:17,485,2378,2619
6/10/2016 20:56,963,19013,36140
6/10/2016 19:53,484,5925,12242
6/10/2016 17:47,271,1572,4112
6/10/2016 16:25,217,1774,3655
6/10/2016 0:43,477,1679,8238
6/8/2016 21:31,795,6252,15902
6/7/2016 21:57,624,3951,10912
6/7/2016 20:52,222,1008,3054
6/7/2016 18:33,291,701,2181
6/7/2016 16:58,186,620,2434
6/7/2016 15:24,580,7482,16626
6/6/2016 21:46,780,2746,8389
6/6/2016 19:09,339,1752,4401
6/6/2016 17:00,220,416,1844
6/6/2016 15:32,2369,16096,29352
6/4/2016 15:41,755,9016,23526
6/3/2016 20:45,352,808,2545
6/3/2016 19:38,426,1831,5845
6/3/2016 17:35,279,463,1767
6/3/2016 15:57,225,556,1909
6/2/2016 23:30,322,1705,3818
6/2/2016 22:31,395,1526,3844
6/2/2016 21:24,493,2893,6825
6/2/2016 20:09,293,2214,4733
6/2/2016 18:08,417,1565,3904
6/2/2016 16:53,542,3448,8331
6/2/2016 15:34,4130,18095,42159
6/1/2016 23:47,226,392,1427
6/1/2016 23:05,91,274,579
6/1/2016 22:04,388,3512,5060
6/1/2016 21:08,201,412,1323
6/1/2016 20:20,281,1192,2336
6/1/2016 19:53,401,2798,7815
6/1/2016 19:31,175,399,1223
6/1/2016 18:33,132,364,1094
6/1/2016 16:37,204,709,2110
6/1/2016 15:19,280,611,2598
5/31/2016 22:23,314,653,2883
5/31/2016 20:12,223,729,2086
5/31/2016 16:51,530,4138,11076
5/31/2016 15:21,268,477,1675
5/30/2016 18:21,760,6464,21237
5/30/2016 14:36,281,1259,4827
5/29/2016 16:47,130,328,1083
5/27/2016 21:26,624,941,3065
5/27/2016 18:28,357,595,2103
5/27/2016 15:53,355,1477,5006
5/26/2016 20:14,359,758,2283
5/26/2016 18:37,370,2277,6298
5/26/2016 15:50,437,729,3022
5/25/2016 22:25,679,5201,10086
5/25/2016 19:14,224,582,1696
5/25/2016 18:07,303,2926,7421
5/25/2016 16:06,378,1227,5979
5/24/2016 21:47,307,630,2118
5/24/2016 20:20,231,334,1361
5/24/2016 18:29,214,504,1613
5/24/2016 17:08,725,699,2999
5/24/2016 15:58,273,1905,5502
5/23/2016 20:08,308,517,2552
5/23/2016 17:17,230,544,1739
5/23/2016 15:47,260,855,2653
5/22/2016 22:18,589,5509,11837
5/21/2016 23:40,392,1331,5121
5/21/2016 15:08,285,560,2364
5/20/2016 21:35,518,537,2337
5/20/2016 20:51,238,747,2270
5/20/2016 17:06,242,865,2641
5/20/2016 15:46,185,624,1769
5/19/2016 21:11,320,932,2727
5/19/2016 19:37,352,528,2449
5/19/2016 17:21,418,2199,7849
5/19/2016 16:02,161,464,1731
5/18/2016 22:03,645,554,2622
5/18/2016 21:18,195,970,2182
5/18/2016 20:22,220,496,1736
5/18/2016 18:53,144,242,976
5/18/2016 18:01,218,1181,4126
5/18/2016 15:35,138,468,1661
5/18/2016 0:35,189,819,1606
5/17/2016 21:58,976,688,3345
5/17/2016 19:04,202,609,2243
5/17/2016 17:15,205,533,1614
5/17/2016 15:11,525,2870,9071
5/16/2016 21:48,406,2053,3768
5/16/2016 20:53,222,506,1669
5/16/2016 18:58,170,369,1418
5/16/2016 17:38,140,379,1317
5/16/2016 16:06,225,665,2167
5/13/2016 22:01,1010,3305,8467
5/13/2016 21:01,240,457,1515
5/13/2016 19:53,188,462,1529
5/13/2016 18:33,795,2344,6008
5/13/2016 17:27,200,438,1566
5/13/2016 15:31,194,579,2296
5/12/2016 21:28,264,472,1581
5/12/2016 19:16,311,467,1535
5/12/2016 17:37,426,2033,7453
5/12/2016 15:33,730,3588,10895
5/11/2016 22:35,434,2436,5965
5/11/2016 19:26,255,549,1932
5/11/2016 16:17,190,490,1772
5/10/2016 20:59,452,1784,6006
5/10/2016 20:07,122,245,712
5/10/2016 18:55,190,609,1888
5/10/2016 16:16,531,3219,9035
5/9/2016 19:39,422,790,2471
5/9/2016 17:24,398,1295,4314
5/9/2016 15:13,179,377,1697
5/8/2016 17:26,387,1824,6805
5/6/2016 21:05,524,833,2869
5/6/2016 18:48,418,821,2259
5/6/2016 16:45,517,2867,8647
5/6/2016 16:16,189,387,1383
5/6/2016 13:39,365,1661,5192
5/5/2016 21:12,439,1423,4520
5/5/2016 19:13,251,747,2200
5/5/2016 17:12,143,363,1486
5/5/2016 16:13,215,2054,4573
5/4/2016 22:12,516,908,3067
5/4/2016 20:11,193,449,1434
5/4/2016 18:00,449,4620,6124
5/4/2016 15:51,169,483,1629
5/3/2016 20:33,243,423,1449
5/3/2016 17:44,490,2228,7189
5/3/2016 16:40,384,712,2805
5/3/2016 14:00,355,2265,6833
5/2/2016 21:31,346,870,2565
5/2/2016 20:08,375,1373,5070
5/2/2016 18:46,155,455,1368
5/2/2016 15:59,294,913,2523
5/1/2016 22:26,542,2858,9163
5/1/2016 20:15,251,883,2929
5/1/2016 2:05,409,1610,4674
4/30/2016 22:28,354,667,2216
4/30/2016 21:18,366,1085,3929
4/30/2016 15:36,300,947,3196
4/29/2016 21:06,682,3489,7291
4/29/2016 15:10,350,1046,3729
4/28/2016 21:18,379,750,2196
4/28/2016 20:21,453,3586,8873
4/28/2016 18:08,410,1236,2995
4/28/2016 15:30,317,977,3801
4/27/2016 22:20,307,600,1857
4/27/2016 21:15,313,1260,3096
4/27/2016 20:09,275,1114,4118
4/27/2016 18:40,231,820,2325
4/27/2016 16:44,242,800,2061
4/26/2016 20:58,391,1700,3595
4/26/2016 20:02,240,640,1568
4/26/2016 18:15,418,3006,8405
4/26/2016 16:29,199,843,2371
4/25/2016 21:43,459,1972,3882
4/25/2016 19:22,499,2997,7118
4/25/2016 17:28,242,481,1443
